Palmer Park Community Center	(YEARLY ELECTRIC)


MISSING DATA:
        From         To    Days
0 1995-10-31 1996-01-31 92 days


                  Cost
Start Date            
1994        10925.8600
1995        16916.5500
1996        14879.8000
1997        18188.0500
1998        18176.3100
1999        16580.9300
2000        16836.4200
2001        10395.3200
2002        15470.8700
2003        16645.4900
2004        18816.9300
2005        18264.2300
2006        23537.6100
2007        32526.5600
2008        26578.3900
2009        20259.4400
2010        25567.9300
2011        27688.5400
2012        17237.1800
2013        26457.9300
2014        22172.5700
2015        49724.2600
2016        52673.6400
2017        52069.5900
2018        50412.2100
2019        50692.5999
2020        39942.6097
2021         4252.1800
